log,job_id,model,tag,nodes,tp,pp,mbs,gbs,seq_len,best_tokens_sec_gpu,avg_last10_tokens_sec_gpu,best_tflops_gpu,status
logs/gipfel-throughput-125m-cgtest-125m-mbs1-baseline-100s-1n-tp1-pp1-mbs1-2179605.log,2179605,125m,cgtest-125m-mbs1-baseline,1,1,1,1,256,4096,46488,41271,42,finished
logs/gipfel-throughput-125m-cgtest-125m-mbs1-te-attn-100s-1n-tp1-pp1-mbs1-2179607.log,2179607,125m,cgtest-125m-mbs1-te-attn,1,1,1,1,256,4096,46511,41269,42,finished
logs/gipfel-throughput-125m-cgtest-125m-mbs1-te-full-layer-100s-1n-tp1-pp1-mbs1-2179606.log,2179606,125m,cgtest-125m-mbs1-te-full-layer,1,1,1,1,256,4096,47688,40774,44,finished
logs/gipfel-throughput-125m-cgtest-125m-mbs1-te-mlp-100s-1n-tp1-pp1-mbs1-2179608.log,2179608,125m,cgtest-125m-mbs1-te-mlp,1,1,1,1,256,4096,47710,40777,44,finished
logs/gipfel-throughput-125m-sanity-125m-50s-1n-tp1-pp1-mbs16-2127788.log,2127788,125m,sanity-125m,1,1,1,16,256,4096,53009,40718,48,finished
logs/gipfel-throughput-140b-fit-140b-cpuopt-full-recompute-60s-4n-tp4-pp4-mbs1-2177810.log,2177810,140b,fit-140b-cpuopt-full-recompute,4,4,4,1,256,4096,,,,oom
logs/gipfel-throughput-140b-fit-140b-full-recompute-60s-4n-tp4-pp4-mbs1-2176031.log,2176031,140b,fit-140b-full-recompute,4,4,4,1,256,4096,,,,oom
logs/gipfel-throughput-140b-fit-140b-pa-optimizer-full-recompute-60s-4n-tp4-pp4-mbs1-2177252.log,2177252,140b,fit-140b-pa-optimizer-full-recompute,4,4,4,1,256,4096,,,,oom
logs/gipfel-throughput-140b-tier-140b-tp4pp4-60s-4n-tp4-pp4-mbs1-2152498.log,2152498,140b,tier-140b-tp4pp4,4,4,4,1,256,4096,,,,oom
logs/gipfel-throughput-32b-baseline-32b-tp4-60s-1n-tp4-pp1-mbs1-2152488.log,2152488,32b,baseline-32b-tp4,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-32b-cg-attn-32b-tp4-60s-1n-tp4-pp1-mbs1-2152489.log,2152489,32b,cg-attn-32b-tp4,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-32b-cg-attn-mlp-32b-tp4-60s-1n-tp4-pp1-mbs1-2152491.log,2152491,32b,cg-attn-mlp-32b-tp4,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-32b-cg-fulliter-32b-tp4-60s-1n-tp4-pp1-mbs1-2152492.log,2152492,32b,cg-fulliter-32b-tp4,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-32b-cg-mlp-32b-tp4-60s-1n-tp4-pp1-mbs1-2152490.log,2152490,32b,cg-mlp-32b-tp4,1,4,1,1,256,4096,,,,oom
logs/gipfel-throughput-32b-fit-32b-4n-tp4pp4-60s-4n-tp4-pp4-mbs1-2178934.log,2178934,32b,fit-32b-4n-tp4pp4,4,4,4,1,256,4096,1960,1908,403,has_metrics
logs/gipfel-throughput-32b-fit-32b-4n-tp4pp4-60s-4n-tp4-pp4-mbs1-2178938.log,2178938,32b,fit-32b-4n-tp4pp4,4,4,4,1,256,4096,1961,1907,403,has_metrics
logs/gipfel-throughput-32b-fit-32b-4n-tp4pp4-recompute-60s-4n-tp4-pp4-mbs1-2178940.log,2178940,32b,fit-32b-4n-tp4pp4-recompute,4,4,4,1,256,4096,1519,1502,313,has_metrics
